epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.5459,3.70445,13.6723,3.54893,0,0,0,0,5.37237,5.32544,4.27398,0.000661376,0.000661376,0.000661376
2,153.659,2.44878,5.38611,2.5974,0.26295,0.35897,0.21541,0.05457,2.78444,44.5087,2.86075,0.00119657,0.00119657,0.00119657
3,217.012,2.33139,3.36354,2.47563,0.31948,0.45513,0.28909,0.11025,2.36839,2.36793,2.34979,0.00159976,0.00159976,0.00159976
4,280.146,2.03342,2.57984,2.13973,0.42484,0.37821,0.32404,0.12075,2.40283,1.74671,2.2641,0.001406,0.001406,0.001406
5,343.857,2.05601,2.17968,2.17922,0.45073,0.39452,0.33544,0.10785,2.41527,1.91866,2.34784,0.001208,0.001208,0.001208
6,407.31,1.99109,1.80752,2.11196,0.50579,0.52484,0.48078,0.17981,2.28629,1.48755,2.18369,0.00101,0.00101,0.00101
7,470.406,1.90441,1.7592,1.99613,0.57881,0.51923,0.51207,0.19214,2.24771,1.4711,2.12069,0.000812,0.000812,0.000812
8,533.43,1.77224,1.68989,1.88077,0.57889,0.45513,0.46943,0.19027,2.10697,1.55887,2.06211,0.000614,0.000614,0.000614
9,596.324,1.73595,1.62136,1.85674,0.71431,0.51288,0.58867,0.24323,2.17079,1.30975,2.08,0.000416,0.000416,0.000416
10,659.816,1.70149,1.40319,1.82617,0.69996,0.51282,0.62412,0.27078,2.10614,1.2823,2.00194,0.000218,0.000218,0.000218
